name,category,ingredient
어글리 포테이토,오븐 요리 메인요리,감자 작은 것 다진 마늘 올리브오일 소금 후춧가루 다진 파슬리 베이컨 식초 꿀 올리브오일 후춧가루
노오븐 바나나 케이크,메인요리,바나나 종이호일 박력분 우유 녹인 무염 버터 설탕 달걀 베이킹파우더
숏파스타 크림빠네,양식 메인요리,통식빵 숏파스타 마늘 양파 베이컨 올리브오일 소금
흑후추소스 안심 스테이크,메인요리,스테이크용 안심 양파 타임 올리브오일 통후추 소금 후춧가루 올리브오일 비프스톡 생크림
허니 갈릭 치킨윙,안주 메인요리,닭날개 식용유 전분 쪽파 레몬 청주 소금 후춧가루 간장 꿀 다진 마늘
사리곰탕 육개장,메인요리,사리곰탕 수프 대파 달걀 마늘 청양고추(생략 가능) 식용유 물 고춧가루 간장 후춧가루
중식 새우볶음밥,중식 메인요리,달걀 대파 새우 식은 밥 식용유 맛소금 후춧가루
소고기 미나리 솥밥,메인요리,다진 소고기 미나리 쌀 다시마 우린 물 참기름 간장 물 참치액 고춧가루 통깨 참기름 다진 마늘 다진 대파 다진 홍고추 소금 맛술 후춧가루
건새우 시래기 솥밥,메인요리,쌀 물 삶은 시래기 건 보리새우 참기름 된장 참기름 다진 마늘 간장 참기름 통깨
기름떡볶이,간식 간단요리,쌀떡 식용유 대파 통깨 고춧가루 올리고당 간장 설탕
명란버터우동,메인요리,우동면 명란젓 올리브오일 버터 마늘 대파 청양고추 김 통깨 달걀 노른자
두부 시래기 조림,밑반찬 메인요리,두부 자숙시래기 국물용 멸치 양파 대파 청양고추 물 된장 고춧가루 멸치액젓 국간장 다진 마늘 들기름
소고기 볶음고추장,밑반찬,다진 소고기 고추장 양파 대파 다진 마늘 간장 설탕 후춧가루
돼지고기 곤약조림,밑반찬,돼지고기 안심 곤약 물 청주 통후추 대파 흰 부분 양파 생강 간장 설탕 다시마 우린 물 다시마 우린 물
김 쪽파무침,밑반찬,쪽파 김 소금 참기름 통깨 국간장 멸치액젓
땅콩호박 그라탕,양식 오븐 요리 메인요리,땅콩호박 양파 베이컨 생크림 파마산치즈가루 피자치즈 소금 후춧가루 파슬리가루 올리브오일
갈치구이,메인요리,손질 갈치 부침가루 소금 식용유
통삼겹살 오븐구이,초대요리 오븐 요리 메인요리,통삼겹살 소금 후춧가루 사과 방울 양배추 당근 대파 샬롯 타임 올리브오일 다진 양파 다진 마늘 쌈장 마요네즈 맛술 참기름 통깨
통오징어 튀김,메인요리,손질 오징어 튀김가루 소금 튀김유 튀김가루 차가운 물 얼음 마요네즈 다진 양파 레몬즙 소금 후춧가루 파슬리 가루 (생략 가능)
우렁이 초무침,밑반찬 메인요리,우렁이살 양파 치커리 대파 오이 고추장 고춧가루 식초 다진 마늘 생강즙 매실청 참기름 깨소금
서대감자조림,메인요리,반건조 서대 감자 양파 대파 청홍고추 멸치다시마육수 식용유 간장 고춧가루 고추장 맛술 설탕 다진 마늘 매실청 후춧가루
레드키위 요거트 바크,간단요리 메인요리,그릭요거트 레드키위 블루베리 피스타치오
단감라페,간단요리 메인요리,단감 올리브유 식초(또는 레몬즙) 홀그레인머스터드 소금
미니 사과 에이드,간단요리,미니 사과 얼음 탄산수 아가베 시럽
샤인머스캣 부라타치즈 샐러드,간단요리 메인요리,샤인머스캣 부라타치즈 샐러드 채소 올리브오일 꿀 화이트 발사믹 식초 레몬즙
미니 사과 오븐구이,간단요리 메인요리,미니 사과 다진 호두 시나몬 가루 녹인 버터 메이플 시럽 설탕
토란국,메인요리,깐 토란 소고기(국거리용) 무 대파 다시마 (6*6cm) 굵은 소금 물 국간장 참치액 다진 마늘 소금 후춧가루
토란조림,밑반찬,깐 토란 마늘 청홍고추 통깨 다시마 (6*6cm) 대파 참기름 쪽파 식용유 간장 맛술 물엿 물 참치액젓
스리라차 치킨과 밀크셰이크,안주 메인요리,닭다리살 우유 식용유 할라피뇨 고운 고춧가루 소금 설탕 후춧가루 올리브유 튀김가루 고운 고춧가루 후춧가루 소금 설탕 고운 고춧가루 다진 마늘 설탕 식초 소금 물 마요네즈 레몬즙(생략 가능) 우유 바닐라 아이스크림 얼음
우유식빵,메인요리,우유 설탕 소금 인스턴트 드라이 이스트 강력분 무염버터
카스테라 호빵,간식 메인요리,단팥 호빵 고구마 생크림 설탕 카스테라 빵
딸기라떼,간단요리,딸기 흰 설탕 레몬 딸기청 생딸기 우유 물 식초
클램차우더 수프,간단요리 메인요리,모시조개 베이컨 감자 샐러리 양파 마늘 버터 밀가루 우유 소금 후춧가루 파슬리 가루 물 청주 샐러리 줄기 마늘
베일리스 밀크,간단요리,베일리스 우유 얼음 에스프레소(생략 가능)
우유 수육,안주 메인요리,우유 돼지고기(통삼겹살) 마늘 생강 월계수 잎 통후추 소금 후춧가루
버터 김치 고구마,간식 간단요리 메인요리,고구마 버터 피자치즈 작게 썬 김치 파슬리 가루
깔루아 밀크,간단요리,깔루아 우유 얼음 휘핑크림 설탕 바닐라 익스트랙 다크 초콜릿 파우더
CCA 주스,간단요리 메인요리,사과 당근 양배추
웨지감자튀김,간식 안주,킹감자 파슬리가루 튀김가루 소금 후춧가루
통감자 오븐구이,간식 메인요리,킹감자 베이컨 실파 체다치즈 버터 사워크림 소금 후춧가루 올리브오일
피스타치오 잼,간단요리 메인요리,피스타치오 카놀라유 소금 설탕
참치 야채전,밑반찬 메인요리,참치캔 달걀 양파 당근 애호박 표고버섯 청양고추 대파 흰 부분 통깨 부침가루 소금 후춧가루
사태 떡찜,밑반찬 메인요리,사태 가래떡 당근 표고버섯 밤 잣가루 통깨 대파 통후추 청주 간장 다진 대파 참기름 다진 마늘 청주 배즙 설탕 후춧가루
명란 연근전,채식 메인요리,연근 명란 식용유 찹쌀가루 유자청 간장 레몬즙 다진 청양고추
고구마 치즈전,간식 퓨전 안주 메인요리,고구마 모짜렐라 치즈 소금 식용유 전분
소고기 무나물,밑반찬 메인요리,무 불고기감 소고기 물 소금 소금 참기름 통깨
애호박 맛살전,밑반찬 메인요리,애호박 맛살 양파 당근 홍고추 소금 식용유 밀가루 달걀 소금
밥통 카레,간단요리 메인요리,양파 완숙 토마토 당근 카레용 소고기 고형 카레
노오븐 우유팩 푸딩,간식,달걀(실온 상태) 노른자(실온 상태) 설탕 우유(200ml) 바닐라 익스트랙 설탕 따뜻한 물
바나나 프렌치 토스트,간식 간단요리,통식빵(또는 기본 식빵 2조각) 달걀 바나나 시나몬파우더 메이플 시럽 버터 설탕 우유 소금 설탕
홍시 아이스 라떼,간단요리,아이스 홍시 우유 메이플시럽 얼음
당근라페와 샌드위치,간식 양식 키토 메인요리,당근 소금 올리브오일 레몬즙(또는 식초) 홀그레인머스타드 설탕 후춧가루 당근 라페 호밀빵 루꼴라 크림치즈
보틀 샐러드,간단요리 메인요리,오이 방울토마토 삶은 병아리콩 그린 올리브 블랙 올리브 치커리 또는 루꼴라 적양파 페타치즈 화이트 발사믹 식초 꿀 다진 파슬리 소금 후추 올리브 오일
전어구이,메인요리,전어 소금 식용유
전어튀김,안주 메인요리,전어 튀김가루 소금 식용유 레몬(생략 가능)
짬뽕,중식 메인요리,오징어 알새우 바지락 돼지고기 양파 대파 청경채 배추 목이버섯 표고버섯 홍고추 당근 호박 다진 마늘 다진 생강 물 고춧가루 간장 치킨파우더 소금 후춧가루 생중화면
빨간 잡채,안주 메인요리,건당면 양파 대파 어묵 콩나물 식용유 다진 마늘 청양고추 물 참기름 통깨 고추장 고춧가루 간장 굴소스 설탕
돼지맥적구이,메인요리,돼지고기 목살 영양 부추 팽이버섯 양파 통깨 식용유 된장 간장 올리고당 맛술 설탕 다진 마늘 생강가루 후춧가루 간 검은깨 잣가루 간장 설탕 식초 소금 후춧가루
돼지안심 스테이크,초대요리 다이어트 메인요리,돼지고기 안심 올리브오일 버터 타임 마늘 소금 후춧가루 오렌지 적양파 파프리카 (노랑 빨강) 청양고추 파슬리 올리브오일 꿀 소금 후춧가루 라임즙
닭똥집 마늘볶음,안주,닭 근위 마늘 청양고추 식용유 맛소금 후춧가루 참기름 통깨
항정살 데리야끼 구이,안주 메인요리,항정살 대파 흰 부분 마늘 생강 양파 영양부추(생략 가능) 간장 맛술 설탕 청주 후춧가루
대패삼겹 튀김 샐러드,메인요리,대패삼겹살 식용유 샐러드 믹스 소금 후춧가루 밀가루 차가운 물 소금 간장 설탕 레몬즙 다진 마늘 올리브오일 물 다진 파슬리 후춧가루
매콤 홍합볶음,밑반찬 안주,홍합 식용유 숙주 대파 양파 통마늘 청양고추 홍고추 식용유 고춧가루 맛술 간장 설탕 후춧가루
마라샹궈,중식 메인요리,마라소스 알배추 청경채 연근 팽이버섯 우삼겹 넓적 당면 다진 마늘 다진 파 식용유
야끼소바,일식 안주,야끼소바면 베이컨 새우 양배추 양파 당근 숙주 쪽파 다진 마늘 식용유 통깨 돈가스 소스 굴소스 간장 가쓰오부시
깐풍기,중식 메인요리,닭다리살 정육 식용유 고추기름 대파 흰 부분 마늘 홍고추 청양고추 양파 청주 소금 후춧가루 전분 물 달걀 흰자 간장 맛술 물 식초 설탕 올리고당 굴소스 생강가루
