id,name,category,ingredient,recipe
1,어글리 포테이토,"['오븐 요리', '메인요리']","[['감자 작은 것', '8~9개(800g)'], ['다진 마늘', '1큰술'], ['올리브오일', '2큰술'], ['소금', '1작은술'], ['후춧가루', '약간'], ['다진 파슬리', '1큰술'], ['베이컨', '3줄'], ['식초', '2큰술'], ['꿀', '1큰술'], ['올리브오일', '1큰술'], ['후춧가루', '약간']]","['감자를 껍질째 깨끗이 씻어주세요.', '법랑 접시에 석쇠를 놓고 내열 용기를 올려 1단에 넣어주세요. 광파오븐 자동 요리 <레인지>에서 <감자 삶기>를 선택 후 0.8kg를 선택해 조리해주세요.', '팬에 베이컨을 올려 7단에서 한면당 2분씩 총 4분간 구워주세요.', '구운 베이컨은 잘게 다져주세요.', '볼에 감자와 밑간 재료를 넣고 섞어주세요.', '법랑 접시에 종이 호일을 깔고 밑간한 감자를 놓고 그릇 아랫면으로 가볍게 눌러 으깨어 주세요.', '법랑 접시를 3단에 넣고 광파오븐 수동요리 오븐에서 180도로 15분간 조리해주세요.', '볼에 소스재료와 다진 베이컨을 넣고 섞어주세요.', '구워진 감자를 접시에 담고 소스를 뿌려 맛있게 즐겨주세요.']"
2,노오븐 바나나 케이크,['메인요리'],"[['바나나', '2개'], ['종이호일', '1장'], ['박력분', '100g'], ['우유', '55ml'], ['녹인 무염 버터', '30g'], ['설탕', '85g'], ['달걀', '3개(145g)'], ['베이킹파우더', '10g']]","['볼에 달걀을 풀고 설탕을 넣어 휘핑기로 2~3분간 휘핑해 주세요.', '달걀물에 밀가루와 베이킹파우더를 체쳐 넣고 주걱으로 섞어주세요.', '녹인 무염버터와 우유를 넣고 섞어 반죽을 완성해주세요.', '바나나는 껍질을 벗겨 2등분으로 자른 후 세로로 길게 잘라주세요.', '팬에 유산지를 깔고 바나나를 넣고 반죽을 부은 후 바나나를 올려주세요. 뚜껑을 덮은 후 1단에서 55분간 구워주세요.', '접시를 팬 위에 덮고 뒤집어 팬에 넣은 후 뚜껑을 덮어 1단에서 15분간 구워주세요.', '완성된 바나나케이크를 맛있게 즐겨주세요.  (tip. 기호에 따라 메이플 시럽을 뿌리거나 냉장고에서 차갑게 식혀 먹어도 맛있어요)']"
3,숏파스타 크림빠네,"['양식', '메인요리']","[['통식빵', '1/2개(300g)'], ['숏파스타', '150g'], ['마늘', '2개'], ['양파', '1/2개'], ['베이컨', '4장'], ['올리브오일', '1큰술'], ['소금', '1/2큰술']]","['마늘은 편썰고 양파는 채를 썰어주세요. 베이컨은 1cm 길이로 썰어주세요.', '냄비에 물 1.5리터를 붓고 9단에서 4분 30초간 끓여주세요.', '숏파스타와 소금을 넣고 8단에서 8분간 삶아주세요. 채반에서 물기를 빼주세요.', '통식빵은 약 10cm 길이로 썰고 가운데 부분은 칼로 도려내주세요.', '법랑 접시에 석쇠를 놓고 식빵을 올린 후 2단에 넣고 광파오븐 자동 요리 <구이> 에서 5분을 선택한 후 구워주세요.', '팬에 올리브오일과 마늘, 양파, 베이컨을 넣고 7단에서 3분간 볶아주세요.', '우유와 생크림, 페퍼론치노를 넣고 5단에서 3분30초간 끓여주세요.', '삶은 파스타면과 치즈를 넣고 6단에서 3분30초간 섞어가며 끓인 후 소금, 후춧가루로 간을 해 완성해주세요.', '구운 빵 속에 파스타와 소스를 넣고 파슬리를 뿌려 맛있게 즐겨주세요.']"
4,흑후추소스 안심 스테이크,['메인요리'],"[['스테이크용 안심', '2덩이(250g, 두께 3cm)'], ['양파', '1/2개'], ['타임', '약간'], ['올리브오일', '1큰술'], ['통후추', '4g'], ['소금', '1작은술'], ['후춧가루', '약간'], ['올리브오일', '1/2큰술'], ['비프스톡', '1/2컵'], ['생크림', '1/2컵']]","['소고기는 소금, 후추, 오일로 밑간 해 실온에 30분 정도 두세요. 양파는 굵게 다져주세요. 통후추는 굵게 빻아주세요.', '법랑 접시에 석쇠를 놓고 고기를 올려 2단에 넣은 후 180도에서 10분간 조리해주세요.', '팬에 올리브오일을 두르고 9단에서 1분간 달궈주세요.', '팬에 오븐에서 조리한 고기를 올려 8단에서 한 면당 1분씩 총 2분간 구워주세요.', '구운 고기를 호일에 감싸 10분간 레스팅 시켜주세요.', '고기를 구운 팬에 버터 1큰술과 빻은 통후추, 다진 양파를 넣고 7단에서 1분 30초간 볶아주세요.', '비프스톡과 생크림, 타임을 넣고 7단에서 4분간 저어가며 졸여주세요.', '접시에 소스를 담고 레스팅한 스테이크 고기를 올려 완성해주세요.']"
5,허니 갈릭 치킨윙,"['안주', '메인요리']","[['닭날개', '20개(500g)'], ['식용유', '2큰술'], ['전분', '1/3컵'], ['쪽파', '1줄기'], ['레몬', '약간'], ['청주', '2큰술'], ['소금', '1작은술'], ['후춧가루', '약간'], ['간장', '2큰술'], ['꿀', '3큰술'], ['다진 마늘', '1큰술']]","['닭날개는 밑간 재료에 재워주세요.', '재워둔 닭날개에 전분을 묻혀 털어내주세요.', '구이 전용 팬에 닭 날개를 올린 후 식용유를 바르고 4단에 넣고 광파오븐 수동 요리 <구이> 기능에서 25분으로 설정 후 시작해 주세요.', '팬에 소스 재료를 넣고 저어가며 7단에서 1분간 끓여주세요.', '구운 닭날개를 넣고 7단에서 1분간 버무려주세요.', '완성된 허니 갈릭 치킨윙을 접시에 담아 쪽파와 레몬을 곁들여 맛있게 즐겨주세요.']"
6,사리곰탕 육개장,['메인요리'],"[['사리곰탕 수프', '1개'], ['대파', '1대(150g)'], ['달걀', '1개'], ['마늘', '2개'], ['청양고추(생략 가능)', '1개'], ['식용유', '2큰술'], ['물', '3컵'], ['고춧가루', '1큰술'], ['간장', '1/2큰술'], ['후춧가루', '약간']]","['대파는 5cm 길이로 잘라 반으로 갈라주세요. 당면은 30분간 불려주세요.', '고추는 송송 썰고 마늘은 굵게 다져주세요.', '냄비에 식용유를 두르고 대파를 넣어 5단에서 3분 30초간 볶아주세요.', '고춧가루를 넣고 3단에서 1분간 볶아주세요.', '물과 수프를 넣고 9단에서 2분간 끓여주세요.', '당면과 청양고추를 넣고 간장과 후추로 간을 해 9단에서 3분간 끓여주세요', '달걀을 풀어 넣고 9단에서 30초 끓인 후 불을 꺼주세요.', '완성된 육개장을 그릇에 담아 밥과 함께 즐겨주세요.']"
7,중식 새우볶음밥,"['중식', '메인요리']","[['달걀', '2개'], ['대파', '1/2대'], ['새우', '4~5마리(80g)'], ['식은 밥', '1공기(200g)'], ['식용유', '2큰술'], ['맛소금', '2꼬집'], ['후춧가루', '약간']]","['볼에 달걀을 풀어주세요. 대파는 반으로 썰어 잘게 잘라주세요. 새우는 등 부분에 칼집을 넣어주세요.', '팬에 식용유를 두르고 대파를 넣어 6단에서 3분간 볶아주세요.', '새우를 넣고 8단에서 1분간 볶아주세요.', '밥을 넣고 8단에서 2분간 볶아주세요.', '달걀물을 넣어 8단에서 1분간 빠르게 저어 익혀주세요.', '8단에서 1분간 맛소금과 후춧가루를 넣고 밥과 함께 볶아주세요.', '접시에 담아 맛있게 즐겨주세요.']"
8,소고기 미나리 솥밥,['메인요리'],"[['다진 소고기', '200g'], ['미나리', '반 줌(150g)'], ['쌀', '2컵(400g)'], ['다시마 우린 물', '2컵(400g)'], ['참기름', '1큰술'], ['간장', '3큰술'], ['물', '2큰술'], ['참치액', '1큰술'], ['고춧가루', '1작은술'], ['통깨', '1큰술'], ['참기름', '1큰술'], ['다진 마늘', '1큰술'], ['다진 대파', '3큰술'], ['다진 홍고추', '1/2개 분량'], ['소금', '1/2작은술'], ['맛술', '1큰술'], ['후춧가루', '약간']]","['쌀은 씻어 30분간 불려주세요.', '소고기는 핏물을 제거하고 소금, 후춧가루, 맛술로 밑간해 주세요.', '미나리는 줄기 부분을 2cm 길이로 송송 썰어주세요. 볼에 양념장 재료를 넣고 섞어주세요.', '냄비에 참기름을 두르고 소고기를 넣어 6단에서 2분 30초간 볶아주세요.', '불린 쌀을 넣고 8단에서 1분간 볶아주세요.', '다시마 우린 물을 넣고 뚜껑을 덮어 8단에서 3분간 끓여주세요.', '2단에서 13분간 익혀주세요.', '썰어둔 미나리를 넣고 뚜껑을 덮어 10분간 뜸을 들여주세요.', '주걱으로 잘 섞은 후 양념장을 곁들여 맛있게 즐겨주세요.']"
9,건새우 시래기 솥밥,['메인요리'],"[['쌀', '2컵(400g)'], ['물', '2컵(400ml)'], ['삶은 시래기', '100g'], ['건 보리새우', '10g'], ['참기름', '1큰술'], ['된장', '1/2큰술'], ['참기름', '1작은술'], ['다진 마늘', '1작은술'], ['간장', '2큰술'], ['참기름', '2큰술'], ['통깨', '1큰술']]","['쌀은 씻은 후 30분간 물에 불려주세요.', '시래기는 2cm 길이로 썰어 시래기 양념 재료를 넣고 버무려주세요.', '볼에 양념장 재료를 넣고 섞어주세요.', '냄비에 시래기를 넣고 5단에서 2분간 볶아주세요.', '쌀을 넣고 5단에서 1분 30초간 볶아주세요.', '물을 붓고 건새우 1/2 분량을 넣은 후 뚜껑을 덮어 8단에서 3분간 끓여주세요.', '2단으로 낮춰 12분간 익혀주세요.', '불을 끄고 인덕션에서 내려 10분간 뜸을 들여주세요.', '팬에 나머지 건새우를 넣고 4단에서 3분 30초간 볶아주세요.', '완성된 건새우 시래기 솥밥에 양념장을 넣고 잘 섞은 후 볶은 건새우를 뿌려 맛있게 즐겨주세요.']"
10,기름떡볶이,"['간식', '간단요리']","[['쌀떡', '300g'], ['식용유', '3큰술'], ['대파', '1/2대'], ['통깨', '약간'], ['고춧가루', '2큰술'], ['올리고당', '2큰술'], ['간장', '1큰술'], ['설탕', '1큰술']]","['대파는 송송 썰어주세요. 떡은 물에 헹궈 채반에서 물기를 빼주세요.', '볼에 떡과 대파를 넣고 양념재료를 넣어 버무려주세요. 색이 배이면 식용유를 넣고 버무려주세요.', '팬에 양념한 떡을 넣고 젓가락으로 뒤집어가며 5단에서 6분간 구워주세요.', '완성된 기름떡볶이를 접시에 담아 통깨를 뿌려 맛있게 즐겨주세요 (tip. 떡국떡을 사용해도 좋아요)']"
