month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
1,-0.011991781,0.10023429,0.024970658,-0.009553668,-0.0063382746,-0.12618041,0.0782347,0.15764716,-0.071425475,-0.04413276,-0.049860522,-0.063780814,0.012844029,0.055857554,0.041547794,-0.06842586,0.04647983,-0.074221596,-0.032421507,-0.19897123,0.07452389,0.058564678,0.037798032,-0.046471074,-0.048892602,-0.0035359263,-0.054498564,-0.10863437,-0.076801956,0.062780716,0.0914121,0.011608631,-0.012804251,-0.05537413,-0.05129849,0.14331014,-0.009538969,-0.028141588,-0.019088086,-0.18078676,0.011257511,-0.07595713,-0.03456003,0.01661145,0.059238546,-0.03409341,-0.06330101,-0.037096098,0.05231993,0.053873025,0.021410847,-0.05078896,-0.050229248,-0.029933909,-0.021725405,0.035366178,0.04248727,-0.020942451,-0.12763438,0.056132898,0.02130802,0.014752489,0.052338246,-0.028855354,-0.10369769,0.11315964,0.01668881,0.07802066,-0.09856828,0.09729243,-0.025695672,0.026274092,0.03062889,-0.0015015708,0.09795301,0.012011028,-0.0075819883,-0.011298861,-0.10893282,0.011495699,-0.039826486,-0.01385804,-0.13081726,0.12805367,-0.03145336,-0.009275689,0.073761426,0.098800585,0.10292869,0.028558591,0.13841307,0.022044845,-0.014582167,0.012963378,0.12695783,0.052146968,0.029037718,-0.072441205,0.014432192,-0.039442647
2,-0.01329055,0.123268574,0.028437283,-0.0110865645,-0.007172643,-0.15611729,0.094654664,0.19348487,-0.08800822,-0.056516543,-0.061811592,-0.07901529,0.015586358,0.06926053,0.0520233,-0.08456771,0.057454035,-0.09128783,-0.041093986,-0.24686044,0.092142075,0.07289382,0.047453627,-0.055946197,-0.060359046,-0.003904471,-0.066481344,-0.13422877,-0.09447501,0.074641794,0.11321542,0.014375091,-0.0147147775,-0.06967558,-0.06374019,0.17660153,-0.011944604,-0.03647171,-0.024245234,-0.22292906,0.013753491,-0.09359203,-0.040221166,0.020495297,0.07328227,-0.043136384,-0.07790982,-0.0450378,0.06482383,0.06560095,0.027554117,-0.062299173,-0.062571496,-0.035808668,-0.025843473,0.043648336,0.052179005,-0.025868716,-0.1593161,0.0690625,0.026780896,0.016894858,0.06504044,-0.035371836,-0.12607001,0.13885763,0.022953974,0.09682428,-0.12129831,0.11862155,-0.03434182,0.03272317,0.037108436,-0.0028515258,0.12234996,0.013515202,-0.008338626,-0.013932988,-0.13307051,0.013403399,-0.050006006,-0.015355673,-0.16147667,0.15842499,-0.03991687,-0.011104876,0.08963608,0.12333127,0.1259097,0.03504428,0.1718595,0.025956446,-0.018991593,0.017786084,0.15651676,0.06395658,0.035649367,-0.08908883,0.016997278,-0.048445206
3,-0.01292941,0.13057029,0.02999237,-0.011271985,-0.007146752,-0.16903807,0.1014318,0.20886916,-0.09428299,-0.061889514,-0.06732286,-0.088110015,0.015224799,0.07338896,0.056193266,-0.09298175,0.06153853,-0.0977802,-0.043708798,-0.26293162,0.0992272,0.078497194,0.04983221,-0.059191868,-0.06380109,-0.003425639,-0.07106091,-0.14454135,-0.10264388,0.07978801,0.12260062,0.015639447,-0.013487206,-0.07472338,-0.068187505,0.18663916,-0.010824635,-0.040800087,-0.027082527,-0.2365127,0.014401409,-0.102878384,-0.04280234,0.022062356,0.07860604,-0.04603206,-0.0861017,-0.04893833,0.06816616,0.07018676,0.031136077,-0.06843747,-0.06898865,-0.03582337,-0.027433198,0.048790645,0.059095815,-0.028314732,-0.16975464,0.07181178,0.027018262,0.016886326,0.067824855,-0.036548104,-0.13618606,0.14928956,0.022649847,0.10302314,-0.12873845,0.12605372,-0.03910714,0.033069406,0.044040643,-0.0019166119,0.13473925,0.017591635,-0.008649462,-0.014143173,-0.13972336,0.012959701,-0.051911447,-0.017324246,-0.16948429,0.16914329,-0.042345036,-0.011478025,0.096559025,0.13137603,0.13446797,0.036915198,0.1857072,0.02732417,-0.018859113,0.018663628,0.16556285,0.06910924,0.035706416,-0.09567335,0.02016554,-0.050215248
4,-0.011263167,0.126057,0.027368555,-0.010973854,-0.0063526207,-0.16219902,0.09352466,0.20146897,-0.09002418,-0.057897784,-0.066949286,-0.085644014,0.016231487,0.0696591,0.05407511,-0.08893944,0.05894368,-0.0927427,-0.0431833,-0.2533683,0.09638458,0.07673375,0.048142377,-0.059004106,-0.05739367,-0.0065544955,-0.06762779,-0.14077754,-0.10065379,0.076166704,0.11886215,0.015585253,-0.014637287,-0.07129335,-0.06675545,0.17855754,-0.01041189,-0.039357774,-0.02612169,-0.22876546,0.010395413,-0.09719599,-0.04019491,0.02204386,0.07709427,-0.04684678,-0.08348239,-0.046072774,0.0651973,0.06524992,0.0315227,-0.06415174,-0.06779315,-0.034821197,-0.026152799,0.04937256,0.059691977,-0.027333751,-0.16461828,0.07216744,0.027988479,0.015814245,0.064280406,-0.03376021,-0.13205856,0.1442962,0.020917108,0.10050645,-0.12384442,0.11971259,-0.03866777,0.031257156,0.041530553,-0.0024360106,0.13196547,0.017769072,-0.007862332,-0.01364136,-0.1326497,0.009925099,-0.05004378,-0.013369689,-0.16419992,0.16285053,-0.04120006,-0.0093256775,0.095461965,0.12619677,0.13090734,0.037132207,0.17693101,0.02449292,-0.021172494,0.01692504,0.15989293,0.066303566,0.032557555,-0.09195389,0.019390572,-0.050338417
5,-0.009514939,0.10107241,0.022627005,-0.010055796,-0.0063508716,-0.1262178,0.076952025,0.15674259,-0.066807084,-0.042202264,-0.051509365,-0.06691279,0.016057048,0.056081444,0.042250678,-0.06938447,0.047561515,-0.07245345,-0.033538893,-0.19953717,0.071028255,0.06003818,0.035624675,-0.044316005,-0.046633776,-0.011136741,-0.05369803,-0.1061411,-0.07920459,0.061802443,0.091856085,0.011304293,-0.014264043,-0.050485875,-0.05146569,0.1380687,-0.004730028,-0.03063619,-0.023384035,-0.18063198,0.0073463903,-0.08002763,-0.034036085,0.01827998,0.059083384,-0.034994405,-0.06474566,-0.035991214,0.053511787,0.054086592,0.019169088,-0.050065383,-0.0499001,-0.026938839,-0.015539102,0.035569493,0.047536165,-0.022019302,-0.13223498,0.05827276,0.021818886,0.016195819,0.045404166,-0.024978451,-0.10004738,0.11125348,0.01863606,0.07769088,-0.09663832,0.096224375,-0.03057541,0.02097935,0.02878294,-0.0026005073,0.10084287,0.010894087,-0.0056313053,-0.009737048,-0.104235314,0.008629589,-0.040429678,-0.011060879,-0.13090952,0.1293965,-0.031184869,-0.004329204,0.07563987,0.10114018,0.10457823,0.029238328,0.13762878,0.02279438,-0.01833531,0.01659415,0.12668498,0.052356035,0.023650387,-0.070205666,0.013023595,-0.043025017
6,-0.018109629,0.1541145,0.03660017,-0.011327982,-0.0062085837,-0.20178223,0.12591769,0.24621098,-0.120749414,-0.06913452,-0.082448415,-0.10512947,0.014154923,0.08906085,0.073748864,-0.118359156,0.07868126,-0.119599946,-0.05422012,-0.31678995,0.11820791,0.096032046,0.06427916,-0.068253,-0.07928439,-0.007949053,-0.09596398,-0.17242642,-0.12350002,0.09550116,0.14033748,0.014486078,-0.009445745,-0.08183927,-0.08702826,0.22781025,-0.012501408,-0.044148054,-0.03435168,-0.2878255,0.016233878,-0.12136081,-0.047161445,0.030852884,0.09455314,-0.056459535,-0.10126686,-0.053218137,0.080116875,0.08325852,0.032292757,-0.079151765,-0.08090209,-0.041989747,-0.029343998,0.05071734,0.06868448,-0.035322376,-0.20668578,0.084590636,0.032010976,0.019270746,0.07912072,-0.038065482,-0.158749,0.17759776,0.028015258,0.119651526,-0.15779881,0.15476564,-0.050631683,0.036396492,0.053673144,-0.011093967,0.16085319,0.020181183,-0.010977268,-0.009510437,-0.16808516,0.00619863,-0.068955414,-0.021540137,-0.20384358,0.2031325,-0.051103313,-0.013631698,0.12168127,0.1615239,0.15293048,0.048585687,0.22293837,0.032083053,-0.028894722,0.021792075,0.20047165,0.08499703,0.033985507,-0.11312977,0.020357633,-0.064545445
7,-0.023258178,0.22824714,0.0514296,-0.013742009,-0.008126276,-0.28843793,0.18083395,0.35680574,-0.17029805,-0.09824905,-0.12095065,-0.14049795,0.025226284,0.12774575,0.09744077,-0.1649704,0.10787031,-0.17263973,-0.0761136,-0.4585213,0.16409878,0.13426511,0.08559194,-0.10582973,-0.105881795,-0.016860303,-0.12695137,-0.24728173,-0.1796917,0.13635021,0.20593423,0.025503097,-0.024986777,-0.12056308,-0.12341566,0.3269773,-0.01669983,-0.071710154,-0.046762187,-0.4126854,0.020196864,-0.17085285,-0.0740111,0.040553324,0.13529845,-0.08043491,-0.14999539,-0.083248794,0.12016033,0.120980605,0.05315534,-0.11792979,-0.12274347,-0.065219864,-0.044505373,0.08381942,0.10664155,-0.046440963,-0.29794392,0.12395525,0.043953292,0.027752504,0.114238195,-0.063957475,-0.23016153,0.25679645,0.042442393,0.17269208,-0.22047998,0.2145629,-0.07459604,0.055435818,0.0734024,-0.0117361015,0.22878702,0.02283989,-0.016746586,-0.018212706,-0.24466318,0.014468834,-0.090135224,-0.027484188,-0.30062202,0.29788354,-0.0678025,-0.013231186,0.17022997,0.2310478,0.23019049,0.05923225,0.31889278,0.050829805,-0.04014589,0.033940542,0.29074278,0.11822287,0.058627207,-0.16562948,0.029505564,-0.0938103
8,-0.019615721,0.1971773,0.046806272,-0.011088067,-0.0062631555,-0.25025305,0.156494,0.30864316,-0.14779957,-0.08735027,-0.10333612,-0.12266427,0.021231916,0.11068971,0.0836496,-0.1436188,0.09273194,-0.14881071,-0.06499449,-0.39755273,0.14157514,0.116488874,0.07258196,-0.090856545,-0.09190984,-0.014519724,-0.10823178,-0.21404214,-0.15531395,0.11912016,0.17685418,0.021105273,-0.022222769,-0.10564714,-0.1070726,0.28107354,-0.014787564,-0.06225295,-0.040660463,-0.35686257,0.017980048,-0.14992906,-0.06524436,0.034866408,0.11757727,-0.070567004,-0.13059409,-0.071574785,0.10346902,0.105334915,0.045012765,-0.101808414,-0.10627013,-0.05598158,-0.037936892,0.07186662,0.0913386,-0.041365802,-0.2585169,0.109191775,0.03858178,0.024781857,0.09965391,-0.05662704,-0.2002029,0.22099258,0.037519265,0.15010819,-0.18994494,0.18513441,-0.062845916,0.048074927,0.064215146,-0.009597882,0.19726543,0.018423494,-0.013475996,-0.01557741,-0.21203883,0.013204737,-0.07795107,-0.022624895,-0.2598,0.25620255,-0.059808224,-0.010627468,0.1482292,0.20078073,0.1986996,0.053345762,0.2754725,0.043609407,-0.034241553,0.029028593,0.25074965,0.10062539,0.048957545,-0.14387968,0.024775226,-0.08043418
9,-0.017974352,0.20300971,0.047963448,-0.012069736,-0.005784806,-0.25869492,0.16138384,0.32223648,-0.15107164,-0.090320155,-0.10732612,-0.12987265,0.025978813,0.115227915,0.086044304,-0.14572263,0.09398496,-0.15207657,-0.066317104,-0.41149518,0.14721055,0.12064322,0.07543225,-0.09553195,-0.09653456,-0.015571589,-0.11323572,-0.21946937,-0.1602123,0.12127483,0.18237428,0.021786613,-0.0191731,-0.11174129,-0.10773507,0.29020035,-0.011702177,-0.06255894,-0.04051781,-0.36855143,0.01805444,-0.15751871,-0.06660407,0.033933602,0.122711554,-0.072994076,-0.13480358,-0.07292666,0.108275846,0.1070982,0.045350328,-0.10661756,-0.108075626,-0.057693914,-0.039324254,0.073023014,0.09564747,-0.041153733,-0.26601723,0.113917075,0.03992776,0.026873125,0.10425926,-0.056624513,-0.20748918,0.22902398,0.03690705,0.15484682,-0.19839256,0.19186157,-0.06651212,0.051982336,0.06819037,-0.00532744,0.20749612,0.016832666,-0.011038079,-0.017907519,-0.21501625,0.012027043,-0.08080862,-0.023881087,-0.2669372,0.26483935,-0.066864565,-0.01540868,0.15269029,0.20507956,0.20432138,0.054823913,0.28365684,0.047428757,-0.038126025,0.029519241,0.26008227,0.102795474,0.052050322,-0.14752209,0.024361618,-0.08267336
10,-0.011260063,0.13812755,0.035233065,-0.008423475,-0.0033384052,-0.18271054,0.112617455,0.22752854,-0.104538225,-0.06676884,-0.07326263,-0.09329216,0.017847745,0.08021202,0.062009778,-0.09902675,0.06255242,-0.103852436,-0.046465978,-0.2848528,0.10301277,0.08393338,0.052931957,-0.06654057,-0.06795648,-0.009620362,-0.07988549,-0.1514473,-0.1104437,0.08489235,0.13015364,0.0137977535,-0.00946773,-0.08131118,-0.074596286,0.20327929,-0.008197714,-0.042340558,-0.02618776,-0.2560867,0.0141636515,-0.11281626,-0.0458173,0.023094786,0.08642008,-0.049057096,-0.09535955,-0.047650095,0.07467411,0.07300215,0.031040585,-0.07542379,-0.07286316,-0.040496387,-0.030333713,0.051077604,0.06416505,-0.02878275,-0.18204279,0.08005255,0.031497136,0.019572278,0.07527456,-0.03827733,-0.14647873,0.15800244,0.02540543,0.110990874,-0.14281943,0.1348522,-0.045030035,0.039275635,0.04983337,-0.0033061025,0.14693923,0.012364645,-0.004956441,-0.013401331,-0.14806838,0.008186247,-0.055471554,-0.015527953,-0.18442182,0.18480495,-0.049331203,-0.011160535,0.10626612,0.13968974,0.1412167,0.038619,0.19588116,0.032921553,-0.024911352,0.022417974,0.1808346,0.0717864,0.034236368,-0.10196738,0.01769631,-0.056786563
